date	n	r L1_alb	prob	cpue_r L1_alb	prob	n	r L2_alb	prob	cpue_r L2_alb	prob	n	r L3_alb	prob	cpue_r L3_alb	prob	n	r L4_alb	prob	cpue_r L4_alb	prob	n	r L5_alb	prob	cpue_r L5_alb	prob	n	r L6_alb	prob	cpue_r L6_alb	prob	n	r L7_alb	prob	cpue_r L7_alb	prob	n	r T8_alb	prob	cpue_r T8_alb	prob	n	r G9_alb	prob	cpue_r G9_alb	prob	n	r L10_alb	prob	cpue_r L10_alb	prob	n	r L11_alb	prob	cpue_r L11_alb	prob	n	r L12_alb	prob	cpue_r L12_alb	prob	n	r L13_alb	prob	cpue_r L13_alb	prob	n	r L14_alb	prob	cpue_r L14_alb	prob	n	r L15_alb	prob	cpue_r L15_alb	prob	n	r L16_alb	prob	cpue_r L16_alb	prob	
3-1982	18	0.616637	0.00641838	0.454426	0.0581521	44	0.791801	1.55084e-10	0.145955	0.344476	22	0.922268	1.05163e-09	0.00926255	0.967368	0	0	1	0	1	0	0	1	0	1	147	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	6	0.902421	0.0138179	0.779101	0.0678052	0	0	1	0	1	17	0.103631	0.692251	0.419614	0.093589	0	0	1	0	1	0	0	1	0	1	4	0.221323	0.778677	-0.947879	0.0521207	0	0	1	0	1	
4-1982	16	0.366398	0.16277	0.568877	0.021467	44	0.930781	5.78775e-20	0.378531	0.0112876	29	0.966757	1.60156e-17	0.144705	0.453893	0	0	1	0	1	0	0	1	0	1	109	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	3	0.169584	0.891515	0.475007	0.684891	0	0	1	0	1	18	-0.079386	0.754189	0.651493	0.00339961	0	0	1	0	1	0	0	1	0	1	1	0.990012	-nan	0.646307	-nan	0	0	1	0	1	
5-1982	20	0.6521	0.00183466	0.488716	0.0287743	53	0.954289	2.07112e-28	0.463357	0.000475765	30	0.967164	3.39375e-18	-0.0147021	0.938537	0	0	1	0	1	0	0	1	0	1	98	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	4	0.288871	0.711129	0.294305	0.705695	0	0	1	0	1	19	0.464123	0.0453095	0.287232	0.233124	0	0	1	0	1	0	0	1	0	1	2	1	-nan	-1	-nan	0	0	1	0	1	
6-1982	18	0.732635	0.000544183	0.364761	0.136675	64	0.802835	1.47935e-15	0.592733	2.46646e-07	40	0.956612	5.97026e-22	-0.0196602	0.904158	0	0	1	0	1	0	0	1	0	1	124	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	10	0.713322	0.0205489	0.398552	0.253953	0	0	1	0	1	15	0.670774	0.00619647	-0.0373991	0.894727	0	0	1	0	1	0	0	1	0	1	1	-nan	-nan	-nan	-nan	0	0	1	0	1	
7-1982	15	0.987531	8.00359e-12	0.191237	0.494767	51	0.873157	6.5921e-17	0.514423	0.000112598	39	0.951545	1.53487e-20	0.55491	0.000246169	0	0	1	0	1	0	0	1	0	1	139	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	11	0.831838	0.00149696	-0.62974	0.0378558	0	0	1	0	1	17	0.000235164	0.999285	0.139438	0.593517	0	0	1	0	1	0	0	1	0	1	1	-nan	-nan	-nan	-nan	0	0	1	0	1	
8-1982	17	0.971955	7.72899e-11	0.722724	0.00104731	42	0.890996	2.6814e-15	0.38285	0.0123343	44	0.913546	5.20167e-18	0.275446	0.0703445	0	0	1	0	1	0	0	1	0	1	183	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	22	0.379151	0.0818192	-0.503095	0.0170026	0	0	1	0	1	17	0.277415	0.281022	-0.0462168	0.860188	0	0	1	0	1	0	0	1	0	1	2	-1	-nan	-1	-nan	0	0	1	0	1	
9-1982	19	0.914011	4.51114e-08	0.11972	0.625421	43	0.781466	6.23524e-10	0.548282	0.000141111	46	0.924064	5.40895e-20	0.159192	0.290633	0	0	1	0	1	0	0	1	0	1	177	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	23	-0.0134783	0.95133	-0.136303	0.535169	0	0	1	0	1	16	0.438001	0.0897212	0.42003	0.105277	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
10-1982	12	0.913111	3.36611e-05	0.495668	0.101267	36	0.480758	0.002998	0.563301	0.000347584	38	0.878504	4.21148e-13	0.286033	0.0817005	0	0	1	0	1	0	0	1	0	1	129	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	19	0.169646	0.487476	0.297636	0.215875	0	0	1	0	1	16	0.199896	0.457927	0.652826	0.00611412	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
11-1982	7	0.874273	0.0100491	0.336425	0.460631	39	0.865227	1.20304e-12	0.558855	0.000217468	30	0.852101	2.31998e-09	-0.137231	0.469593	0	0	1	0	1	0	0	1	0	1	172	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	12	0.665365	0.0182072	0.259002	0.416288	0	0	1	0	1	12	0.278838	0.380138	0.755969	0.00444805	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
12-1982	5	0.0777318	0.901129	0.47324	0.420766	35	0.902162	1.35605e-13	0.796889	1.01932e-08	26	0.910062	1.16074e-10	0.562562	0.00277522	0	0	1	0	1	0	0	1	0	1	130	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	13	0.563618	0.0448561	0.275914	0.361518	0	0	1	0	1	5	0.355163	0.557488	0.611289	0.273319	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
